0	She should ask a few native Americans what their take on this is.	OFF
1	Go home you’re drunk!!! maga trump2020 :oncoming_fist::United_States::oncoming_fist: http	OFF
2	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. http amazon maga kag china t cot	NOT
3	"Someone should'veTaken"" this piece of shit to a volcano. :face_with_tears_of_joy:"""	OFF
4	Obama wanted liberals &amp; illegals to move into red states	NOT
5	Liberals are all Kookoo !!!	OFF
6	Oh noes! Tough shit.	OFF
7	was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	OFF
8	Buy more icecream!!!	NOT
9	Canada doesn’t need another CUCK! We already have enough looney left liberals f**king up our great country! q proofs trudeau must go	OFF
10	It’s not my fault you support gun control	NOT
11	What’s the difference between kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be confirmed to the SCJ dems are frauds dems are done walk away democrats 2018 red wave vote red save america trump train maga http	NOT
12	you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! deep state corruption http	OFF
13	It should scare every American! She is playing Hockey with a warped puck!	NOT
14	I like my soda like I like my boarders with a lot of ICE.	NOT
15	you are also the king of taste	NOT
16	maga :musical_notes: Sing like no one is listening :heart_suit: Love like you've never been hurt :check_mark: Vote GOP when no one is watching :hear-no-evil_monkey: And don't listen to Liberals' dirt http	NOT
17	5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” gun control cdn poli cdn hist	NOT
18	Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show :face_with_tears_of_joy:	NOT
19	gun control! That is all these kids are asking for!	OFF
20	LOL!!! Throwing the BULLSHIT Flag on such nonsense!! put up or shut up kavanaugh maga call the vote already http	OFF
21	You are correct.	NOT
22	Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF
23	Da fuck is going on people? There's the men's room and the women's room Pick one and stick w it :thinking_face:	OFF
24	Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious? Could you give some specifics? http	NOT
25	Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF
26	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”"" http t cot maga red nation rising"	NOT
27	You can tell he is a hooper too	NOT
28	I feel like he is better chasing the title	NOT
29	She? To whom are you referring to? Hillary? You know what is tiresome? Bernie supporters bashing Hillary Clinton. She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them. She has a positive message. So who is dividing the left?	OFF
30	Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. http	NOT
31	Yes you are but I was asking what is it about the movie ?:man_shrugging::eyes:	NOT
32	The only thing the Democrats have is lying and stalling to stop Trump from being president What have they done for you lately. trump kavanaugh maga dem suck	OFF
33	No wonder he is being apologetic and more social these day....	NOT
34	Any updates re ending your blatant racism as windrush &amp; grenfell proves you are all out politics politics live pm qs http	NOT
35	Do you know what’s going to happen now? I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	NOT
36	You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? http	OFF
37	That's expected if you placate the violent leftists/terrorists. kavanaugh confirmation woke	OFF
38	Blow hard	NOT
39	That means you are a max lvl. Twitter user and maybe should try a new game	NOT
40	"Please explain what controlled opposition"" means. As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	NOT
