,original,detoxified,similarity,orig_label
0,"who is q wheres the server dump nike dec las fisa Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! lock them all up wwg1wga q a non ⁦ http",who is q wheres the server dump nike dec las fisa Democrats Support Ant,0.8769484758377075,OFF
1,. . . What the fuck did he do this time?,What did he do this time?,0.8884658813476562,OFF
2,Do you get the feeling he is kissing behind so he can humiliate him later?,Do you get the feeling he is kissing behind so he can humiliate him later?,1.0000001192092896,OFF
3,stop kavanaugh he is liar like the rest of the gop http,stop kavanaugh he is not honest like the rest of the gop http,0.9770053625106812,OFF
4,hi ac Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!,Matt Hardy and Randy Orton put on one hell in a cell match! Woooo,0.9455359578132629,OFF
5,"Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""","Put DeLauro in a police lineup identifying the ""bag lady"" - she would",0.9166086316108704,OFF
6,"@ ALL FAMILY/FRIENDS , do not tell me bad shit that your bf/gf did to you just to go right back to them!!!","@ ALL FAMILY/FRIENDS , do not tell me bad things that",0.9369108080863953,OFF
7,"ariana ases in a Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.",ariana ases in a Is that serious?! Please don't blame someone for the,0.9000810980796814,OFF
8,How is she hiding her ugly personality. She is the worst.,How is she hiding her bad personality. She is the worst.,0.9946315288543701,OFF
9,......bitch what http,what http,0.6401400566101074,OFF
10,"georgetown Classmate Says left Accuser is Absolutely NUTS"" http ""Judge Kavanaugh"" abc cbs democrats liberals women monday motivation monday morning veterans law maga gop cnn msnbc nbc moms black women bet","georgetown Classmate Says left Accuser is absolutely NUTS"" http ""Judge",0.8829507231712341,OFF
11,Are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,Are you referring to how they deal with gun control as their kids get slaughtered in schools,0.966468095779419,OFF
12,conservatives - You're a clown! http,conservatives - You are not good.,0.8756516575813293,OFF
13,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”,voice in my head while I transfer money to my credit card*,0.9502632021903992,OFF
14,kids Beating paraplegic trump boy left Teach Their children Hate Violence! schools teachers democrats liberals walk away moms mother nea teach them young christian catholic jews evangelicals family black women black twitter blacks news media disabled maga http,kids Beating paraplegic trump boy left Teach their children Hate Violence! schools teachers,0.9375044703483582,OFF
15,Are you fucking serious? http,Are you serious?,0.8583508133888245,OFF
16,*gets all the bitches*,gets all of them,0.8035949468612671,OFF
17,omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,omg is he for real ?!? ??????) this happened in peru,0.9282550811767578,OFF
18,"conservatism 101 It's not about our disagreements with conservatives Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. http",conservatism 101 It's not about our disagreement with conservatives Its that Conservatives can't debate,0.9384592771530151,OFF
19,My only point of contention is this. He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy. Wilks hasn't even been able to get his defense to line up correctly. He is in over his head.,My only point of contention is this. He decided to keep this group which has top,0.9063746929168701,OFF
20,And apparently I'm committed to going to a new level since I used the key. Well FUCK. Curiosity killed the Cat(hy),And apparently I'm committed to going to a new level since I used the key.,0.9308622479438782,OFF
21,Then why aren’t there so many shootings in Virginia? Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control! What good did that do?! You’re full of crap.,Then why aren't there so many shootings in Virginia? Jacksonville shooter got his guns IN,0.9332435727119446,OFF
22,Well she is Chuck Schumer's cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon. Or part of the Deep State. Or a Zionist plot. Or 'Big comedy'. Or whatever the hell today's conspiracy theory is.,Well she is Chuck Schumer's cousin or niece or something so she is obviously part of,0.9212964177131653,OFF
